Phase,Overall Accuracy,Class 0 Precision,Class 0 Recall,Class 0 F1-Score,Class 1 Precision,Class 1 Recall,Class 1 F1-Score,Confusion Matrix,AUPRC
Test,87.92683360603259,0.8695698261573449,0.9995347755291928,0.9300338570788091,0.995163519115615,0.389683004915002,0.5600596221768576,"[[90237, 42], [13535, 8642]]",0.7330232090737266
Test,88.71558654051363,0.8776906975612131,0.9985932498144641,0.9342466605179436,0.9869623241966944,0.43351219732154933,0.6024186979134031,"[[90152, 127], [12563, 9614]]",0.757898495863891
Test,85.83712740983141,0.8504128492252008,0.9993686239324759,0.9188933192783049,0.9910433689503457,0.28439374126347117,0.4419606881328615,"[[90222, 57], [15870, 6307]]",0.6311673284379024
Test,85.84513053994452,0.850141731097027,0.9999446161344278,0.918978347398532,0.9992024246291275,0.28245479550886055,0.44041341489137315,"[[90274, 5], [15913, 6264]]",0.637412671305803
Test,88.6684569965142,0.876754130223518,0.9993243168400182,0.9340352729851589,0.9936165759732105,0.42814627767506874,0.5984306557841994,"[[90218, 61], [12682, 9495]]",0.7537496491390954
Test,85.83268122643523,0.850935077931028,0.9984270982177472,0.9187996289613977,0.9782508806861694,0.28800108220228166,0.4449940778931234,"[[90137, 142], [15790, 6387]]",0.6296054962745237
Test,85.46542647791136,0.8467238177418447,0.9999667696806567,0.9169870541450607,0.9994861253854059,0.26311042972448934,0.41656255577369267,"[[90276, 3], [16342, 5835]]",0.6188067824840736
Test,85.84513053994452,0.8501483260347507,0.9999335393613132,0.9189775225995602,0.9990432147982777,0.28249988727059566,0.4404527559055118,"[[90273, 6], [15912, 6265]]",0.6499981160801441
Test,85.84424130326528,0.8516105237275633,0.997474495729904,0.9187893133898919,0.966041108132261,0.29246516661405964,0.44899795784154234,"[[90051, 228], [15691, 6486]]",0.6231741170800189
Test,88.190047663086,0.8804249011857708,0.9869294077249415,0.9306399135153203,0.8951670220326937,0.4543445912431799,0.6027577543145993,"[[89099, 1180], [12101, 10076]]",0.7410883499354751
Test,88.7484882976453,0.87828697296349,0.9981723324361147,0.9343999668189195,0.9832555307489345,0.4368940794516842,0.6049764290843246,"[[90114, 165], [12488, 9689]]",0.7586591766667723
Test,85.90293092409476,0.8514572826353866,0.998615403360693,0.9191837317305682,0.980985701247338,0.29079677142985977,0.44861048311363083,"[[90154, 125], [15728, 6449]]",0.6345708339058936
Test,85.85935832681227,0.8504480903154066,0.9996455432603374,0.9190309374936353,0.9949518851553872,0.28439374126347117,0.44234815542151773,"[[90247, 32], [15870, 6307]]",0.6646786126112189
Test,88.68001707334425,0.8818906168437848,0.9918253414415312,0.9336329322461577,0.9324361439165064,0.45925959327230914,0.6154078549848943,"[[89541, 738], [11992, 10185]]",0.7545664267100098
Test,85.84157359322757,0.850169063697927,0.9998449251763976,0.9189522122452304,0.9977717650803756,0.2826802543175362,0.440548137737175,"[[90265, 14], [15908, 6269]]",0.6342966852676114
Test,85.81845343956748,0.8503237847467692,0.9992357026551025,0.9187851381080421,0.9891628710538716,0.283987915407855,0.4412836322869955,"[[90210, 69], [15879, 6298]]",0.612551232903235
Test,85.85313367005763,0.8505108966141317,0.9994461613442772,0.9189833322299572,0.9921482412060302,0.2848897506425576,0.44266946925906464,"[[90229, 50], [15859, 6318]]",0.6686491972042674
